key/len,ru,en
key_tutor_lesson_single_click,Кликните мышью по имени урока.,Click on the lesson name.
key_tutor_lesson_part_list,Появится список частей урока.,A list of lesson parts will appear.
key_tutor_lesson_find,Для поиска в списке введите часть названия и нажмите Enter.,To search in the list - enter part of the name and press Enter.
key_tutor_lesson_double_start,Сделайте двойной клик по уроку или части для старта.,Double-click on the lesson or a part to start.

key_tutor_keyboard_type_field,"Эти символы вам нужно вводить с клавиатуры. Убедитесь, что вы переключились на нужную раскладку клавиатуры.",You need to enter these characters from the keyboard. Make sure that you have switched to the desired keyboard layout.
key_tutor_keyboard_key_green,"Следующий символ и модификатор, которые нужно нажать на клавиатуре, будут подсвечиваться зелёными рамками.",The next character and modifier to be pressed on the keyboard will be highlighted with green frames.
key_tutor_finger,"Палец, которым нужно нажимать кнопку на клавиатуре.",The finger with which to press the button on the keyboard.
key_tutor_back,Нажмите эту кнопку если захотите вернуться к списку уроков.,Click this button if you want to return to the list of lessons.

key_tutor_E,Нажмите Е для переключения в режим редактирования.,Press E to switch to edit mode.

key_tutor_create_lesson_btn,"Нажмите кнопку для для того, чтобы создать новый урок.",Click the button to create a new lesson.
key_tutor_find_lang,Введите часть названия языка и нажмите Enter.,Write a part of the language name and press Enter.
key_tutor_lang_list,Выделите язык для которого будет создан урок.,Select the language for which the lesson will be created.
key_tutor_author,Укажите имя автора урока.,Specify the name of the author of the lesson.
key_tutor_lesson_name,Укажите название урока.,Specify the name of the lesson.
key_tutor_lesson_save,Сохраните урок.,Save the lesson.
key_tutor_lesson_sel_new,Выделите новый урок,Select a new lesson
key_tutor_add_part,Добавить часть урока.,Add a lesson part.
key_tutor_part_sel_new,Выделите новую часть.,Select a new part.
key_tutor_remove_part,Удалить выделенную часть урока.,Remove the selected lesson part.
key_tutor_name_add_part,Имя добавляемой части урока.,The name of a added lesson part.
key_tutor_add_symbols,Добавьте символы для части урока.,Add symbols for part of the lesson.
key_tutor_save_symbols,Сохранить введенные символы в выделенной части.,Save the entered characters in the selected part.

key_tutor_create_keyboard,Создать клавиатуру,Create a keyboard
key_tutor_kb_first,Нажмите на кнопку и она будет выделена зелёным цветом.,Click on the button and it will be highlighted in green.
key_tutor_kb_lineedit,"После выбора кнопки будет подсвечено поле ввода символов с клавиатуры. Найдите аналог этой кнопки на вашей клавиатуре и нажмите символ без модификатора и затем с модификатором (Например - а и А+Shift). Значение будет сохранено на диск. Убедитесь, что специальная клавиша с модификатором нажата до клавиши с символом. Если вы введёте одинаковые символы для одной кнопки или одинаковые модификаторы появится сообщение об ошибке. Очистить значение на кнопке можно удалив символы в строке ввода. Добавьте значения для нескольких кнопок.","After selecting the button, the keyboard character input field will be highlighted. Find an analogue of this button on your keyboard and press the character without a modifier and then with a modifier (For example - a and A +Shift). The value will be saved to disk. Make sure that the special modifier key is pressed before the symbol key. If you enter the same characters for one button or the same modifiers, an error message will appear. You can clear the value on the button by deleting the characters in the input line. Add values for multiple buttons."
key_tutor_back,Нажмите чтобы вернуться назад.,Click to go back.

key_tutor_export_lesson,Экспорт урока,Exporting a lesson
key_tutor_select_lesson,Выделите урок,Select the lesson
key_tutor_export,"Выберите директорию в файловой системе, куда будут скопированы файлы, содержащие описание выделенного урока и клавиатуры с нужным языком. Этими файлами вы можете обмениваться с другими пользователями удобным вам способом.",Select the directory in the file system where the files containing the description of the selected lesson and the keyboard with the desired language will be copied. You can share these files with other users in a way that is convenient for you.
key_tutor_import_lesson,Импорт урока,Importing a lesson
key_tutor_import,Выберите файлы содержащие описание урока и клавиатуры с нужным языком. Этими уроками вы сможете пользоваться как встроенными.,Select the files containing the description of the lesson and the keyboard with the desired language. You can use these lessons as built-in.

